Job_ID,Job_Title,Industry,Skills_Required,Education_Required,Experience_Level,Location,Salary_Range,Demand_Level,,,,,
19,Project Manager,IT,"Project Management, Agile, Leadership",Bachelors in IT Management,Senior-level,Colombo,180000-220000,High,,,,,
20,School Principal,Education,"Leadership, Administration, Teaching",Masters in Education,Senior-level,Kandy,120000-150000,Medium,,,,,
21,Full Stack Developer,IT,"Python, JavaScript, Node.js, React",Bachelors in Computer Science,Mid-level,Colombo,150000-190000,High,,,,,
22,Database Administrator,IT,"SQL, Oracle, Database Management",Bachelors in IT,Mid-level,Galle,120000-160000,Medium,,,,,
23,Nurse Practitioner,Healthcare,"Advanced Nursing, Patient Care, Diagnosis",Masters in Nursing,Senior-level,Jaffna,110000-140000,High,,,,,
24,Mathematics Teacher,Education,"Mathematics, Teaching, Communication",Bachelors in Mathematics,Entry-level,Matara,80000-100000,Medium,,,,,
25,Cybersecurity Analyst,IT,"Cybersecurity, Ethical Hacking, Risk Assessment",Bachelors in Cybersecurity,Mid-level,Colombo,140000-180000,High,,,,,
26,Marketing Manager,Marketing,"Digital Marketing, SEO, Communication",Bachelors in Marketing,Senior-level,Kandy,120000-160000,Medium,,,,,
27,AI Engineer,IT,"Machine Learning, TensorFlow, Python",Masters in AI,Mid-level,Colombo,180000-220000,High,,,,,
28,Accountant,Finance,"Accounting, Taxation, Tally",Bachelors in Accounting,Entry-level,Galle,90000-120000,Medium,,,,,
29,Clinical Researcher,Healthcare,"Research, Data Analysis, Medical Knowledge",Masters in Public Health,Mid-level,Jaffna,100000-130000,Medium,,,,,
30,IT Support Specialist,IT,"Troubleshooting, Networking, Customer Service",Diploma in IT,Entry-level,Kandy,80000-110000,Medium,,,,,
31,Software Engineer,IT,"Python, Django, SQL",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
32,Data Engineer,IT,"ETL, Python, Big Data",Bachelors in Data Science,Mid-level,Kandy,140000-180000,High,,,,,
33,Physiotherapist,Healthcare,"Physical Therapy, Patient Care, Rehabilitation",Bachelors in Physiotherapy,Mid-level,Jaffna,90000-120000,Medium,,,,,
34,English Teacher,Education,"English, Teaching, Communication",Bachelors in English,Entry-level,Matara,80000-100000,Medium,,,,,
35,Cloud Engineer,IT,"AWS, Azure, Cloud Architecture",Bachelors in IT,Senior-level,Colombo,180000-220000,High,,,,,
36,Financial Planner,Finance,"Financial Planning, Investment, Communication",Bachelors in Finance,Mid-level,Galle,110000-140000,Medium,,,,,
37,Graphic Designer,IT,"Adobe Photoshop, Illustrator, Creativity",Diploma in Graphic Design,Entry-level,Colombo,90000-120000,Medium,,,,,
38,Lab Technician,Healthcare,"Lab Testing, Data Recording, Precision",Diploma in Medical Lab Technology,Entry-level,Jaffna,80000-100000,Medium,,,,,
39,Scrum Master,IT,"Agile, Scrum, Leadership",Bachelors in IT Management,Mid-level,Colombo,140000-180000,High,,,,,
40,Science Teacher,Education,"Science, Teaching, Communication",Bachelors in Science,Entry-level,Matara,80000-100000,Medium,,,,,
41,Backend Developer,IT,"Node.js, Express, MongoDB",Bachelors in Software Engineering,Mid-level,Colombo,130000-170000,High,,,,,
42,HR Specialist,Human Resources,"Recruitment, Employee Relations, Communication",Bachelors in HR Management,Entry-level,Kandy,90000-120000,Medium,,,,,
43,Data Analyst,IT,"SQL, Python, Data Visualization",Bachelors in Data Science,Entry-level,Galle,100000-130000,Medium,,,,,
44,Medical Officer,Healthcare,"Clinical Skills, Diagnosis, Patient Care",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
45,Lecturer,Education,"Teaching, Research, Subject Expertise",Masters in Education,Mid-level,Colombo,100000-130000,Medium,,,,,
46,Network Engineer,IT,"Cisco, Networking, Troubleshooting",Bachelors in IT,Mid-level,Kandy,120000-160000,Medium,,,,,
47,Accountant,Finance,"Accounting, Financial Reporting, Tally",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
48,Software Tester,IT,"Manual Testing, Automation, Selenium",Bachelors in Software Engineering,Entry-level,Colombo,100000-140000,High,,,,,
49,Nurse,Healthcare,"Patient Care, Nursing, Communication",Diploma in Nursing,Entry-level,Jaffna,80000-110000,High,,,,,
50,Business Analyst,IT,"Requirements Analysis, SQL, Agile",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
51,Frontend Developer,IT,"React, JavaScript, CSS",Bachelors in Software Engineering,Entry-level,Colombo,110000-150000,High,,,,,
52,Data Scientist,IT,"Python, Machine Learning, Statistics",Masters in Data Science,Mid-level,Kandy,180000-220000,High,,,,,
53,Network Administrator,IT,"Networking, Linux, Cybersecurity",Diploma in IT,Mid-level,Galle,120000-160000,Medium,,,,,
54,Web Developer,IT,"HTML, CSS, JavaScript, Angular",Bachelors in Software Engineering,Entry-level,Colombo,110000-140000,High,,,,,
55,Registered Nurse,Healthcare,"Patient Care, Medical Knowledge, Communication",Diploma in Nursing,Mid-level,Jaffna,90000-120000,High,,,,,
56,Teacher,Education,"Teaching, Communication, Subject Expertise",Bachelors in Education,Entry-level,Matara,80000-100000,Medium,,,,,
57,Software Engineer,IT,"Java, Spring, SQL",Bachelors in Computer Science,Senior-level,Colombo,200000-250000,High,,,,,
58,Data Analyst,IT,"SQL, Python, Data Visualization",Bachelors in Data Science,Entry-level,Kandy,100000-130000,Medium,,,,,
59,HR Manager,Human Resources,"Recruitment, Leadership, Communication",Bachelors in HR Management,Senior-level,Colombo,140000-180000,Medium,,,,,
60,Accountant,Finance,"Accounting, Tally, Analytical Skills",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
61,DevOps Engineer,IT,"AWS, Docker, CI/CD",Bachelors in Computer Science,Mid-level,Colombo,160000-200000,High,,,,,
62,Mobile App Developer,IT,"Flutter, Dart, iOS Development",Bachelors in Software Engineering,Entry-level,Kandy,110000-150000,High,,,,,
63,Medical Officer,Healthcare,"Clinical Skills, Diagnosis, Communication",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
64,Lecturer,Education,"Teaching, Research, Communication",Masters in Education,Mid-level,Matara,100000-130000,Medium,,,,,
65,Business Analyst,IT,"Requirements Analysis, SQL, Agile",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
66,Financial Analyst,Finance,"Financial Modeling, Excel, Analytical Skills",Bachelors in Finance,Entry-level,Galle,100000-120000,Medium,,,,,
67,UI/UX Designer,IT,"Figma, Adobe XD, User Research",Bachelors in Design,Entry-level,Colombo,100000-140000,High,,,,,
68,Pharmacist,Healthcare,"Pharmacy, Patient Counseling, Drug Knowledge",Bachelors in Pharmacy,Mid-level,Jaffna,90000-120000,Medium,,,,,
69,Project Manager,IT,"Project Management, Agile, Leadership",Bachelors in IT Management,Senior-level,Colombo,180000-220000,High,,,,,
70,School Principal,Education,"Leadership, Administration, Teaching",Masters in Education,Senior-level,Kandy,120000-150000,Medium,,,,,
71,Full Stack Developer,IT,"Python, JavaScript, Node.js, React",Bachelors in Computer Science,Mid-level,Colombo,150000-190000,High,,,,,
72,Database Administrator,IT,"SQL, Oracle, Database Management",Bachelors in IT,Mid-level,Galle,120000-160000,Medium,,,,,
73,Nurse Practitioner,Healthcare,"Advanced Nursing, Patient Care, Diagnosis",Masters in Nursing,Senior-level,Jaffna,110000-140000,High,,,,,
74,Mathematics Teacher,Education,"Mathematics, Teaching, Communication",Bachelors in Mathematics,Entry-level,Matara,80000-100000,Medium,,,,,
75,Cybersecurity Analyst,IT,"Cybersecurity, Ethical Hacking, Risk Assessment",Bachelors in Cybersecurity,Mid-level,Colombo,140000-180000,High,,,,,
76,Marketing Manager,Marketing,"Digital Marketing, SEO, Communication",Bachelors in Marketing,Senior-level,Kandy,120000-160000,Medium,,,,,
77,AI Engineer,IT,"Machine Learning, TensorFlow, Python",Masters in AI,Mid-level,Colombo,180000-220000,High,,,,,
78,Accountant,Finance,"Accounting, Taxation, Tally",Bachelors in Accounting,Entry-level,Galle,90000-120000,Medium,,,,,
79,Clinical Researcher,Healthcare,"Research, Data Analysis, Medical Knowledge",Masters in Public Health,Mid-level,Jaffna,100000-130000,Medium,,,,,
80,IT Support Specialist,IT,"Troubleshooting, Networking, Customer Service",Diploma in IT,Entry-level,Kandy,80000-110000,Medium,,,,,
81,Software Engineer,IT,"Python, Django, SQL",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
82,Data Engineer,IT,"ETL, Python, Big Data",Bachelors in Data Science,Mid-level,Kandy,140000-180000,High,,,,,
83,Physiotherapist,Healthcare,"Physical Therapy, Patient Care, Rehabilitation",Bachelors in Physiotherapy,Mid-level,Jaffna,90000-120000,Medium,,,,,
84,English Teacher,Education,"English, Teaching, Communication",Bachelors in English,Entry-level,Matara,80000-100000,Medium,,,,,
85,Cloud Engineer,IT,"AWS, Azure, Cloud Architecture",Bachelors in IT,Senior-level,Colombo,180000-220000,High,,,,,
86,Financial Planner,Finance,"Financial Planning, Investment, Communication",Bachelors in Finance,Mid-level,Galle,110000-140000,Medium,,,,,
87,Graphic Designer,IT,"Adobe Photoshop, Illustrator, Creativity",Diploma in Graphic Design,Entry-level,Colombo,90000-120000,Medium,,,,,
88,Lab Technician,Healthcare,"Lab Testing, Data Recording, Precision",Diploma in Medical Lab Technology,Entry-level,Jaffna,80000-100000,Medium,,,,,
89,Scrum Master,IT,"Agile, Scrum, Leadership",Bachelors in IT Management,Mid-level,Colombo,140000-180000,High,,,,,
90,Science Teacher,Education,"Science, Teaching, Communication",Bachelors in Science,Entry-level,Matara,80000-100000,Medium,,,,,
91,Backend Developer,IT,"Node.js, Express, MongoDB",Bachelors in Software Engineering,Mid-level,Colombo,130000-170000,High,,,,,
92,HR Specialist,Human Resources,"Recruitment, Employee Relations, Communication",Bachelors in HR Management,Entry-level,Kandy,90000-120000,Medium,,,,,
93,Data Analyst,IT,"SQL, Python, Data Visualization",Bachelors in Data Science,Entry-level,Galle,100000-130000,Medium,,,,,
94,Medical Officer,Healthcare,"Clinical Skills, Diagnosis, Patient Care",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
95,Lecturer,Education,"Teaching, Research, Subject Expertise",Masters in Education,Mid-level,Colombo,100000-130000,Medium,,,,,
96,Network Engineer,IT,"Cisco, Networking, Troubleshooting",Bachelors in IT,Mid-level,Kandy,120000-160000,Medium,,,,,
97,Accountant,Finance,"Accounting, Financial Reporting, Tally",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
98,Software Tester,IT,"Manual Testing, Automation, Selenium",Bachelors in Software Engineering,Entry-level,Colombo,100000-140000,High,,,,,
99,Nurse,Healthcare,"Patient Care, Nursing, Communication",Diploma in Nursing,Entry-level,Jaffna,80000-110000,High,,,,,
100,Business Analyst,IT,"Requirements Analysis, SQL, Agile",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
101,Software Engineer,IT,"Python, Java, SQL",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
102,Data Analyst,IT,"Python, Excel, Data Visualization",Bachelors in Data Science,Entry-level,Kandy,100000-130000,Medium,,,,,
103,Network Administrator,IT,"Networking, Cybersecurity, Linux",Diploma in IT,Mid-level,Galle,120000-160000,Medium,,,,,
104,Web Developer,IT,"HTML, CSS, JavaScript",Bachelors in Software Engineering,Entry-level,Colombo,110000-140000,High,,,,,
105,Registered Nurse,Healthcare,"Patient Care, Medical Knowledge",Diploma in Nursing,Mid-level,Jaffna,90000-120000,High,,,,,
106,Teacher,Education,"Teaching, Communication",Bachelors in Education,Entry-level,Matara,80000-100000,Medium,,,,,
107,Software Engineer,IT,"Java, Spring Boot, SQL",Bachelors in Computer Science,Senior-level,Colombo,200000-250000,High,,,,,
108,Data Scientist,IT,"Machine Learning, Python, R",Masters in Data Science,Mid-level,Kandy,180000-220000,High,,,,,
109,HR Manager,Human Resources,"Recruitment, Leadership",Bachelors in HR Management,Senior-level,Colombo,140000-180000,Medium,,,,,
110,Accountant,Finance,"Accounting, Tally",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
111,DevOps Engineer,IT,"AWS, Docker, Kubernetes",Bachelors in Computer Science,Mid-level,Colombo,160000-200000,High,,,,,
112,Mobile App Developer,IT,"Flutter, Android Development",Bachelors in Software Engineering,Entry-level,Kandy,110000-150000,High,,,,,
113,Medical Officer,Healthcare,"Clinical Skills, Diagnosis",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
114,Lecturer,Education,"Teaching, Research",Masters in Education,Mid-level,Matara,100000-130000,Medium,,,,,
115,Business Analyst,IT,"Requirements Analysis, SQL",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
116,Financial Analyst,Finance,"Financial Modeling, Excel",Bachelors in Finance,Entry-level,Galle,100000-120000,Medium,,,,,
117,UI/UX Designer,IT,"Figma, User Research",Bachelors in Design,Entry-level,Colombo,100000-140000,High,,,,,
118,Pharmacist,Healthcare,"Pharmacy, Patient Counseling",Bachelors in Pharmacy,Mid-level,Jaffna,90000-120000,Medium,,,,,
119,Project Manager,IT,"Project Management, Agile",Bachelors in IT Management,Senior-level,Colombo,180000-220000,High,,,,,
120,School Principal,Education,"Leadership, Administration",Masters in Education,Senior-level,Kandy,120000-150000,Medium,,,,,
121,Full Stack Developer,IT,"Python, JavaScript, React",Bachelors in Computer Science,Mid-level,Colombo,150000-190000,High,,,,,
122,Database Administrator,IT,"SQL, Oracle",Bachelors in IT,Mid-level,Galle,120000-160000,Medium,,,,,
123,Nurse Practitioner,Healthcare,"Advanced Nursing, Diagnosis",Masters in Nursing,Senior-level,Jaffna,110000-140000,High,,,,,
124,Mathematics Teacher,Education,"Mathematics, Teaching",Bachelors in Mathematics,Entry-level,Matara,80000-100000,Medium,,,,,
125,Cybersecurity Analyst,IT,"Cybersecurity, Risk Assessment",Bachelors in Cybersecurity,Mid-level,Colombo,140000-180000,High,,,,,
126,Marketing Manager,Marketing,"Digital Marketing, SEO",Bachelors in Marketing,Senior-level,Kandy,120000-160000,Medium,,,,,
127,AI Engineer,IT,"Machine Learning, Python",Masters in AI,Mid-level,Colombo,180000-220000,High,,,,,
128,Accountant,Finance,"Accounting, Taxation",Bachelors in Accounting,Entry-level,Galle,90000-120000,Medium,,,,,
129,Clinical Researcher,Healthcare,"Research, Data Analysis",Masters in Public Health,Mid-level,Jaffna,100000-130000,Medium,,,,,
130,IT Support Specialist,IT,"Troubleshooting, Customer Service",Diploma in IT,Entry-level,Kandy,80000-110000,Medium,,,,,
131,Software Engineer,IT,"Python, SQL, Django",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
132,Data Engineer,IT,"ETL, Big Data",Bachelors in Data Science,Mid-level,Kandy,140000-180000,High,,,,,
133,Physiotherapist,Healthcare,"Physical Therapy, Rehabilitation",Bachelors in Physiotherapy,Mid-level,Jaffna,90000-120000,Medium,,,,,
134,English Teacher,Education,"English, Communication",Bachelors in English,Entry-level,Matara,80000-100000,Medium,,,,,
135,Cloud Engineer,IT,"AWS, Azure",Bachelors in IT,Senior-level,Colombo,180000-220000,High,,,,,
136,Financial Planner,Finance,"Financial Planning, Investment",Bachelors in Finance,Mid-level,Galle,110000-140000,Medium,,,,,
137,Graphic Designer,IT,"Adobe Photoshop, Creativity",Diploma in Graphic Design,Entry-level,Colombo,90000-120000,Medium,,,,,
138,Lab Technician,Healthcare,"Lab Testing, Precision",Diploma in Medical Lab Technology,Entry-level,Jaffna,80000-100000,Medium,,,,,
139,Scrum Master,IT,"Agile, Leadership",Bachelors in IT Management,Mid-level,Colombo,140000-180000,High,,,,,
140,Science Teacher,Education,"Science, Teaching",Bachelors in Science,Entry-level,Matara,80000-100000,Medium,,,,,
141,Backend Developer,IT,"Node.js, MongoDB",Bachelors in Software Engineering,Mid-level,Colombo,130000-170000,High,,,,,
142,HR Specialist,Human Resources,"Recruitment, Communication",Bachelors in HR Management,Entry-level,Kandy,90000-120000,Medium,,,,,
143,Data Analyst,IT,"SQL, Python",Bachelors in Data Science,Entry-level,Galle,100000-130000,Medium,,,,,
144,Medical Officer,Healthcare,"Clinical Skills, Patient Care",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
145,Lecturer,Education,"Teaching, Research",Masters in Education,Mid-level,Colombo,100000-130000,Medium,,,,,
146,Network Engineer,IT,"Cisco, Troubleshooting",Bachelors in IT,Mid-level,Kandy,120000-160000,Medium,,,,,
147,Accountant,Finance,"Accounting, Financial Reporting",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
148,Software Tester,IT,"Manual Testing, Selenium",Bachelors in Software Engineering,Entry-level,Colombo,100000-140000,High,,,,,
149,Nurse,Healthcare,"Patient Care, Nursing",Diploma in Nursing,Entry-level,Jaffna,80000-110000,High,,,,,
150,Business Analyst,IT,"Requirements Analysis, Agile",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
151,Software Engineer,IT,"Python, Java, SQL",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
152,Data Analyst,IT,"Python, Excel, Data Visualization",Bachelors in Data Science,Entry-level,Kandy,100000-130000,Medium,,,,,
153,Network Administrator,IT,"Networking, Cybersecurity",Diploma in IT,Mid-level,Galle,120000-160000,Medium,,,,,
154,Web Developer,IT,"HTML, CSS, React",Bachelors in Software Engineering,Entry-level,Colombo,110000-140000,High,,,,,
155,Registered Nurse,Healthcare,"Patient Care, Communication",Diploma in Nursing,Mid-level,Jaffna,90000-120000,High,,,,,
156,Teacher,Education,"Teaching, Subject Expertise",Bachelors in Education,Entry-level,Matara,80000-100000,Medium,,,,,
157,Software Engineer,IT,"Java, Spring Boot",Bachelors in Computer Science,Senior-level,Colombo,200000-250000,High,,,,,
158,Data Scientist,IT,"Machine Learning, Python",Masters in Data Science,Mid-level,Kandy,180000-220000,High,,,,,
159,HR Manager,Human Resources,"Recruitment, Leadership",Bachelors in HR Management,Senior-level,Colombo,140000-180000,Medium,,,,,
160,Accountant,Finance,"Accounting, Tally",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
161,DevOps Engineer,IT,"AWS, Docker",Bachelors in Computer Science,Mid-level,Colombo,160000-200000,High,,,,,
162,Mobile App Developer,IT,"Flutter, Android Development",Bachelors in Software Engineering,Entry-level,Kandy,110000-150000,High,,,,,
163,Medical Officer,Healthcare,"Clinical Skills, Diagnosis",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
164,Lecturer,Education,"Teaching, Research",Masters in Education,Mid-level,Matara,100000-130000,Medium,,,,,
165,Business Analyst,IT,"Requirements Analysis, SQL",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
166,Financial Analyst,Finance,"Financial Modeling, Excel",Bachelors in Finance,Entry-level,Galle,100000-120000,Medium,,,,,
167,UI/UX Designer,IT,"Figma, User Research",Bachelors in Design,Entry-level,Colombo,100000-140000,High,,,,,
168,Pharmacist,Healthcare,"Pharmacy, Patient Counseling",Bachelors in Pharmacy,Mid-level,Jaffna,90000-120000,Medium,,,,,
169,Project Manager,IT,"Project Management, Agile",Bachelors in IT Management,Senior-level,Colombo,180000-220000,High,,,,,
170,School Principal,Education,"Leadership, Administration",Masters in Education,Senior-level,Kandy,120000-150000,Medium,,,,,
171,Full Stack Developer,IT,"Python, JavaScript, React",Bachelors in Computer Science,Mid-level,Colombo,150000-190000,High,,,,,
172,Database Administrator,IT,"SQL, Oracle",Bachelors in IT,Mid-level,Galle,120000-160000,Medium,,,,,
173,Nurse Practitioner,Healthcare,"Advanced Nursing, Diagnosis",Masters in Nursing,Senior-level,Jaffna,110000-140000,High,,,,,
174,Mathematics Teacher,Education,"Mathematics, Teaching",Bachelors in Mathematics,Entry-level,Matara,80000-100000,Medium,,,,,
175,Cybersecurity Analyst,IT,"Cybersecurity, Risk Assessment",Bachelors in Cybersecurity,Mid-level,Colombo,140000-180000,High,,,,,
176,Marketing Manager,Marketing,"Digital Marketing, SEO",Bachelors in Marketing,Senior-level,Kandy,120000-160000,Medium,,,,,
177,AI Engineer,IT,"Machine Learning, Python",Masters in AI,Mid-level,Colombo,180000-220000,High,,,,,
178,Accountant,Finance,"Accounting, Taxation",Bachelors in Accounting,Entry-level,Galle,90000-120000,Medium,,,,,
179,Clinical Researcher,Healthcare,"Research, Data Analysis",Masters in Public Health,Mid-level,Jaffna,100000-130000,Medium,,,,,
180,IT Support Specialist,IT,"Troubleshooting, Customer Service",Diploma in IT,Entry-level,Kandy,80000-110000,Medium,,,,,
181,Software Engineer,IT,"Python, SQL, Django",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
182,Data Engineer,IT,"ETL, Big Data",Bachelors in Data Science,Mid-level,Kandy,140000-180000,High,,,,,
183,Physiotherapist,Healthcare,"Physical Therapy, Rehabilitation",Bachelors in Physiotherapy,Mid-level,Jaffna,90000-120000,Medium,,,,,
184,English Teacher,Education,"English, Communication",Bachelors in English,Entry-level,Matara,80000-100000,Medium,,,,,
185,Cloud Engineer,IT,"AWS, Azure",Bachelors in IT,Senior-level,Colombo,180000-220000,High,,,,,
186,Financial Planner,Finance,"Financial Planning, Investment",Bachelors in Finance,Mid-level,Galle,110000-140000,Medium,,,,,
187,Graphic Designer,IT,"Adobe Photoshop, Creativity",Diploma in Graphic Design,Entry-level,Colombo,90000-120000,Medium,,,,,
188,Lab Technician,Healthcare,"Lab Testing, Precision",Diploma in Medical Lab Technology,Entry-level,Jaffna,80000-100000,Medium,,,,,
189,Scrum Master,IT,"Agile, Leadership",Bachelors in IT Management,Mid-level,Colombo,140000-180000,High,,,,,
190,Science Teacher,Education,"Science, Teaching",Bachelors in Science,Entry-level,Matara,80000-100000,Medium,,,,,
191,Backend Developer,IT,"Node.js, MongoDB",Bachelors in Software Engineering,Mid-level,Colombo,130000-170000,High,,,,,
192,HR Specialist,Human Resources,"Recruitment, Communication",Bachelors in HR Management,Entry-level,Kandy,90000-120000,Medium,,,,,
193,Data Analyst,IT,"SQL, Python",Bachelors in Data Science,Entry-level,Galle,100000-130000,Medium,,,,,
194,Medical Officer,Healthcare,"Clinical Skills, Patient Care",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
195,Lecturer,Education,"Teaching, Research",Masters in Education,Mid-level,Colombo,100000-130000,Medium,,,,,
196,Network Engineer,IT,"Cisco, Troubleshooting",Bachelors in IT,Mid-level,Kandy,120000-160000,Medium,,,,,
197,Accountant,Finance,"Accounting, Financial Reporting",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
198,Software Tester,IT,"Manual Testing, Selenium",Bachelors in Software Engineering,Entry-level,Colombo,100000-140000,High,,,,,
199,Nurse,Healthcare,"Patient Care, Nursing",Diploma in Nursing,Entry-level,Jaffna,80000-110000,High,,,,,
200,Business Analyst,IT,"Requirements Analysis, Agile",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
201,Software Engineer,IT,"Python, Java, SQL",Bachelors in Computer Science,Mid-level,Colombo,150000-200000,High,,,,,
202,Data Analyst,IT,"Python, Excel, Data Visualization",Bachelors in Data Science,Entry-level,Kandy,100000-130000,Medium,,,,,
203,Network Administrator,IT,"Networking, Cybersecurity",Diploma in IT,Mid-level,Galle,120000-160000,Medium,,,,,
204,Web Developer,IT,"HTML, CSS, React",Bachelors in Software Engineering,Entry-level,Colombo,110000-140000,High,,,,,
205,Registered Nurse,Healthcare,"Patient Care, Communication",Diploma in Nursing,Mid-level,Jaffna,90000-120000,High,,,,,
206,Teacher,Education,"Teaching, Subject Expertise",Bachelors in Education,Entry-level,Matara,80000-100000,Medium,,,,,
207,Software Engineer,IT,"Java, Spring Boot",Bachelors in Computer Science,Senior-level,Colombo,200000-250000,High,,,,,
208,Data Scientist,IT,"Machine Learning, Python",Masters in Data Science,Mid-level,Kandy,180000-220000,High,,,,,
209,HR Manager,Human Resources,"Recruitment, Leadership",Bachelors in HR Management,Senior-level,Colombo,140000-180000,Medium,,,,,
210,Accountant,Finance,"Accounting, Tally",Bachelors in Accounting,Mid-level,Galle,100000-130000,Medium,,,,,
211,DevOps Engineer,IT,"AWS, Docker",Bachelors in Computer Science,Mid-level,Colombo,160000-200000,High,,,,,
212,Mobile App Developer,IT,"Flutter, Android Development",Bachelors in Software Engineering,Entry-level,Kandy,110000-150000,High,,,,,
213,Medical Officer,Healthcare,"Clinical Skills, Diagnosis",MBBS,Senior-level,Jaffna,200000-250000,High,,,,,
214,Lecturer,Education,"Teaching, Research",Masters in Education,Mid-level,Matara,100000-130000,Medium,,,,,
215,Business Analyst,IT,"Requirements Analysis, SQL",Bachelors in Business Information Systems,Mid-level,Colombo,130000-160000,High,,,,,
216,Financial Analyst,Finance,"Financial Modeling, Excel",Bachelors in Finance,Entry-level,Galle,100000-120000,Medium,,,,,
217,UI/UX Designer,IT,"Figma, User Research",Bachelors in Design,Entry-level,Colombo,100000-140000,High,,,,,
218,Pharmacist,Healthcare,"Pharmacy, Patient Counseling",Bachelors in Pharmacy,Mid-level,Jaffna,90000-120000,Medium,,,,,
219,Project Manager,IT,"Project Management, Agile",Bachelors in IT Management,Senior-level,Colombo,180000-220000,High,,,,,
220,School Principal,Education,"Leadership, Administration",Masters in Education,Senior-level,Kandy,120000-150000,Medium,,,,,
